Species,Taxonomy,CO1
Bryotropha_hodgesi_1473615,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Gelechiidae_32434,81.0
Eucalliphora_latifrons_142900,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Calliphoridae_7371,80.0
Melanoplus_marshalli_137847,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Orthoptera_6993;Acrididae_7002,80.0
Platycheirus_quadratus_1459891,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Syrphidae_34680,80.0
Xyleborinus_saxesenii_1230758,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Curculionidae_7042,80.0
Erebia_manto_598736,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Nymphalidae_33415,80.0
Drosophila_antonietae_198036,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Drosophilidae_7214,80.0
Hylurgops_porosus_1498067,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Curculionidae_7042,80.0
Melanotus_castanipes_878140,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Elateridae_30009,80.0
Heterocampa_guttivitta_214164,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Notodontidae_37571,80.0
Anopheles_albitarsis_F_Brochero_et_al.__2007_352057,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,80.0
Atteva_aurea_721898,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Attevidae_397430,80.0
Choristoneura_fumiferana_7141,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Tortricidae_7139,80.0
Thaumatomyia_glabra_1479690,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chloropidae_29032,80.0
Gaurotes_cyanipennis_1710398,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Cerambycidae_34667,80.0
Anthaxia_inornata_1709591,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Buprestidae_50527,80.0
Eurois_astricta_685406,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Noctuidae_7100,80.0
Asteromyia_modesta_691139,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Cecidomyiidae_33406,79.0
Glauce_pectenalaeella_1666835,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Gelechiidae_32434,79.0
Xestocephalus_desertorum_139602,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,79.0
Nymphalis_c_album_929971,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Nymphalidae_33415,79.0
Paragus_haemorrhous_221790,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Syrphidae_34680,79.0
Cercyon_fimbriatus_477279,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Hydrophilidae_41102,79.0
Glossosoma_intermedium_692084,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Trichoptera_30263;Glossosomatidae_177617,79.0
Javesella_pellucida_166230,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Delphacidae_33362,79.0
Spilogona_firmidisetosa_1291939,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Muscidae_7366,79.0
Corticarina_minuta_1501868,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Latridiidae_196999,79.0
Penthetria_heteroptera_560771,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Pleciidae_560818,79.0
Helophilus_hybridus_1124524,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Syrphidae_34680,79.0
Clunio_marinus_568069,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,79.0
Sympetrum_danae_197175,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Odonata_6961;Libellulidae_6964,79.0
Hippodamia_variegata_703264,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Coccinellidae_7080,79.0
Xanthorhoe_abrasaria_685394,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Geometridae_82593,79.0
Seladonia_confusa_88589,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Halictidae_77572,79.0
Tanytarsus_recurvatus_684733,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,79.0
Heteromyza_oculata_1740925,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Heleomyzidae_219548,79.0
Lasioglossum_villosulum_88523,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Halictidae_77572,79.0
Anopheles_lesteri_109668,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,79.0
Delia_florilega_137477,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Anthomyiidae_30062,79.0
Hydrobius_fuscipes_290645,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Hydrophilidae_41102,79.0
Cartodere_nodifer_1531406,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Latridiidae_196999,79.0
Selatosomus_pulcher_1710786,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Elateridae_30009,79.0
Chaitophorus_neglectus_179826,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Aphididae_27482,79.0
Carterocephalus_palaemon_218720,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Hesperiidae_40093,79.0
Megapalpus_capensis_1319809,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Bombyliidae_50674,79.0
Euchloe_tagis_415341,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Pieridae_7114,79.0
Pityophthorus_juglandis_1398175,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Curculionidae_7042,78.0
Essigella_californica_759921,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Aphididae_27482,78.0
Libellula_quadrimaculata_70395,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Odonata_6961;Libellulidae_6964,78.0
Euschistus_tristigmus_1284683,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Pentatomidae_160513,78.0
Nymphalis_satyrus_171602,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Nymphalidae_33415,78.0
Cricotopus_tibialis_1348421,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,78.0
Iridopsis_larvaria_572866,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Geometridae_82593,78.0
Paracolax_tristalis_938204,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Erebidae_695564,78.0
Bradysia_scabricornis_1720632,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,78.0
Zophosis_punctata_575792,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Tenebrionidae_7065,78.0
Oryctes_borbonicus_1629725,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Scarabaeidae_7055,78.0
Ypthima_baldus_270470,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Nymphalidae_33415,78.0
Panorpodes_paradoxus_115640,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Mecoptera_27420;Panorpodidae_115626,78.0
Stethorus_punctillum_420099,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Coccinellidae_7080,78.0
Lachnaia_hirta_1425577,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Chrysomelidae_27439,78.0
Melanophthalma_helvola_1896604,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Latridiidae_196999,78.0
Stictopleurus_punctiventris_881764,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Rhopalidae_38106,78.0
Copitarsia_decolora_511019,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Noctuidae_7100,78.0
Tasimia_palpata_201508,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Trichoptera_30263;Tasimiidae_177820,78.0
Calliphora_livida_164755,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Calliphoridae_7371,78.0
Clitarchus_tepaki_x_Clitarchus_hookeri_1993910,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Phasmatodea_7020;Phasmatidae_55199,78.0
Phaonia_errans_1291920,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Muscidae_7366,78.0
Coenonympha_pamphilus_242262,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Nymphalidae_33415,78.0
Exyra_semicrocea_979902,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Noctuidae_7100,78.0
Leptoglossus_zonatus_1228019,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Coreidae_186376,77.0
Eupelmus_urozonus_310279,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Eupelmidae_7430,77.0
Lasiommata_maera_111916,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Nymphalidae_33415,77.0
Theretra_oldenlandiae_1088304,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Sphingidae_7128,77.0
Dryas_iulia_33453,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Nymphalidae_33415,77.0
Ochlerotatus_punctor_46209,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,77.0
Bleptus_fasciatus_1707691,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Ephemeroptera_30073;Heptageniidae_178295,77.0
Anopheles_arabiensis_7173,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,77.0
Tetanocera_phyllophora_320970,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciomyzidae_169447,77.0
Ablabesmyia_monilis_700369,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,77.0
Anthocoris_musculus_520121,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Anthocoridae_82738,77.0
Megaselia_longicostalis_1105311,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Phoridae_36164,77.0
Xestia_c_nigrum_987431,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Noctuidae_7100,77.0
Leptotes_pirithous_282318,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Lycaenidae_27544,77.0
Capitophorus_elaeagni_527612,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Aphididae_27482,77.0
Dicerapanorpa_magna_2492637,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Mecoptera_27420;Panorpidae_50439,77.0
Bradysia_tilicola_1262229,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,77.0
Drosophila_albomicans_7291,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Drosophilidae_7214,77.0
Opsolasia_orichalcea_1291978,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Muscidae_7366,77.0
Cicadula_melanogaster_1655939,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,76.0
Ectatomma_ruidum_196312,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Formicidae_36668,76.0
Bombus_cryptarum_130687,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Apidae_7458,76.0
Calomicrus_circumfusus_294706,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Chrysomelidae_27439,76.0
Eurydema_dominulus_286701,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Pentatomidae_160513,76.0
Gerris_latiabdominis_95698,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Gerridae_36161,76.0
Triatoma_infestans_30076,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Reduviidae_27479,76.0
Anopheles_atroparvus_41427,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,76.0
Vespula_pensylvanica_30213,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Vespidae_7438,76.0
Hetaerina_americana_62018,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Odonata_6961;Calopterygidae_50489,76.0
Bicellaria_furcifer_1692337,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Hybotidae_1446258,76.0
Pollenia_griseotomentosa_1720740,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Polleniidae_54279,76.0
Rheosmittia_spinicornis_1892514,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,76.0
Nephelodes_minians_320044,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Noctuidae_7100,76.0
Agonopterix_canadensis_1666437,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Depressariidae_2681869,76.0
Cryptolestes_pusillus_1173686,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Laemophloeidae_196984,76.0
Miobantia_fuscata_1486539,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Mantodea_7504;Thespidae_267147,76.0
Lasioglossum_cressonii_88489,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Halictidae_77572,76.0
Rhingia_nasica_192450,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Syrphidae_34680,75.0
Corynoptera_deserta_1817620,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,75.0
Gesneria_centuriella_572915,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Crambidae_268499,75.0
Fabriciana_adippe_405009,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Nymphalidae_33415,75.0
Eupteryx_flavoscuta_1656473,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,75.0
Catopsilia_pomona_320267,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Pieridae_7114,75.0
Phobocampe_bicingulata_1473673,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Ichneumonidae_7408,75.0
Psilogramma_menephron_1088164,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Sphingidae_7128,75.0
Mesechthistatus_furciferus_407274,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Cerambycidae_34667,75.0
Pygopleurus_foina_2802475,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Glaphyridae_110051,75.0
Dichomeris_ligulella_347743,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Gelechiidae_32434,75.0
Aethes_biscana_1847345,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Tortricidae_7139,75.0
Chelifera_frigelii_1891110,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Empididae_92557,75.0
Nemoura_arctica_693720,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Plecoptera_50622;Nemouridae_62802,75.0
Phyllodesma_americana_151320,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Lasiocampidae_7096,75.0
Eurygaster_maura_1191085,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Scutelleridae_468258,75.0
Sarraceniomyia_sarraceniae_1820968,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sarcophagidae_7381,75.0
Periplaneta_americana_6978,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Blattodea_85823;Blattidae_6974,75.0
Anopheles_peditaeniatus_206113,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,75.0
Mycetophila_ocellus_1473662,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Mycetophilidae_29035,75.0
Mythimna_oxygala_685376,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Noctuidae_7100,75.0
Anopheles_claviger_120868,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,75.0
Simulium_asakoae_333336,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Simuliidae_7190,75.0
Drosophila_quinaria_95624,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Drosophilidae_7214,75.0
Anastrepha_distincta_95501,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tephritidae_7211,75.0
Diadegma_insulare_310391,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Ichneumonidae_7408,75.0
Delia_bucculenta_1887249,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Anthomyiidae_30062,74.0
Diuraphis_noxia_143948,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Aphididae_27482,74.0
Sinoe_chambersi_1666851,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Gelechiidae_32434,74.0
Chironomus_thummi_7154,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,74.0
Cucujus_cinnaberinus_433033,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Cucujidae_41110,74.0
Aphis_rubicola_1455647,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Aphididae_27482,74.0
Ips_sexdentatus_55985,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Curculionidae_7042,74.0
Cratyna_ambigua_1260828,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,74.0
Gymnodia_humilis_1511681,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Muscidae_7366,74.0
Noctua_pronuba_214277,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Noctuidae_7100,74.0
Phlebotomus_perniciosus_13204,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Psychodidae_7197,74.0
Epinotia_cruciana_1666554,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Tortricidae_7139,74.0
Campoletis_flavicincta_659353,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Ichneumonidae_7408,74.0
Anopheles_braziliensis_58242,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,74.0
Ptilodexia_conjuncta_1640942,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474,74.0
Cicadula_subcupraea_1655941,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,74.0
Anochetus_madagascarensis_269310,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Formicidae_36668,74.0
Phaonia_subfuscinervis_1291928,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Muscidae_7366,74.0
Muscina_pascuorum_1230143,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Muscidae_7366,74.0
Laricobius_rubidus_866892,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Derodontidae_174905,74.0
Leptinotarsa_decemlineata_7539,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Chrysomelidae_27439,74.0
Polyommatus_dorylas_265384,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Lycaenidae_27544,74.0
Stigmella_myricafoliella_1887509,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Nepticulidae_58822,74.0
Paratanytarsus_dissimilis_403562,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,74.0
Roeseliana_roeselii_494379,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Orthoptera_6993;Tettigoniidae_62784,73.0
Arctia_plantaginis_874455,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Erebidae_695564,73.0
Cheilomenes_sexmaculata_158622,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Coccinellidae_7080,73.0
Sciara_humeralis_709462,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,73.0
Orthocladius_roussellae_1790145,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,73.0
Cyclophora_pendulinaria_214108,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Geometridae_82593,73.0
Episyrphus_balteatus_286459,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Syrphidae_34680,73.0
Ormosia_affinis_1720827,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Limoniidae_43823,73.0
Phyllonorycter_salictella_199070,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Gracillariidae_98966,73.0
Peyerimhoffia_vagabunda_2164186,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Sciaridae_7184,73.0
Nymphalis_urticae_111881,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Nymphalidae_33415,73.0
Ceutorhynchus_assimilis_467358,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Curculionidae_7042,73.0
Planococcus_ficus_249562,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Pseudococcidae_30190,73.0
Platypalpus_pulicarius_1446218,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Hybotidae_1446258,73.0
Hydraena_gracilis_290660,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Hydraenidae_110044,73.0
Euproctis_chrysorrhoea_987934,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Erebidae_695564,73.0
Micropsectra_logani_288865,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,73.0
Plagiodera_versicolora_154017,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Chrysomelidae_27439,73.0
Simulium_ornatum_304233,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Simuliidae_7190,73.0
Eilema_bicolor_464723,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Erebidae_695564,73.0
Chrysops_ater_1562004,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tabanidae_7205,73.0
Orfelia_nemoralis_1588145,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Keroplatidae_58254,73.0
Pseudorthocladius_curtistylus_611622,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,73.0
Limnophora_rotundata_1291903,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Muscidae_7366,73.0
Panurgus_dentipes_465464,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Andrenidae_48719,73.0
Anisocentropus_kawamurai_2481046,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Trichoptera_30263;Calamoceratidae_177837,73.0
Tetrastichus_miser_2572165,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Eulophidae_107755,73.0
Taeniothrips_orionis_1897149,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Thysanoptera_30262;Thripidae_45053,72.0
Agabus_sturmii_207462,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Dytiscidae_50515,72.0
Polydrusus_impressifrons_1342090,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Curculionidae_7042,72.0
Vespula_consobrina_1475056,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Vespidae_7438,72.0
Gymnophora_fastigiorum_1890585,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Phoridae_36164,72.0
Niveaphasma_annulata_529523,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Phasmatodea_7020;Diapheromeridae_409189,72.0
Rhyacophila_angelita_691732,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Trichoptera_30263;Rhyacophilidae_177631,72.0
Ormyrus_labotus_489113,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Ormyridae_272228,72.0
Dilophus_femoratus_1086758,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Bibionidae_52729,72.0
Idiocerus_lachrymalis_1656521,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hemiptera_7524;Cicadellidae_30102,72.0
Hadrobregmus_notatus_1710404,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Anobiidae_186076,72.0
Circellium_bacchus_205291,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Coleoptera_7041;Scarabaeidae_7055,72.0
Dinera_grisescens_701465,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474,72.0
Tanytarsus_heliomesonyctios_684723,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Chironomidae_7149,72.0
Hylaeus_annulatus_586976,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Colletidae_156309,72.0
Simulium_tarsatum_1265453,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Simuliidae_7190,72.0
Argynnis_zerene_1666727,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Nymphalidae_33415,72.0
Culicoides_occidentalis_1337725,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Ceratopogonidae_41819,72.0
Aedes_ochraceus_450822,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Culicidae_7157,72.0
Mycetophila_perpallida_2211628,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Mycetophilidae_29035,72.0
Gnorimoschema_gallaesolidaginis_355915,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Lepidoptera_7088;Gelechiidae_32434,72.0
Hemiandrus_pallitarsis_551148,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Orthoptera_6993;Anostostomatidae_108522,72.0
Odontomachus_coquereli_373793,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Hymenoptera_7399;Formicidae_36668,72.0
Lucilia_silvarum_226139,Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Calliphoridae_7371,72.0
